objectid,name,country,nat_leg_te,leg_rec,area_ha,gfwid,globalid,shape_Length,shape_Area
486,Waippi,Brazil,Indigenous Territory,Y,607017.2404,d448a572-747f-4f6f-bcae-a9ab96aeb971,{FEF3FE72-3208-4392-9373-9A1EE35D2A51},492307.726669592,6088358900.27101
487,Waimiri-Atroari,Brazil,Indigenous Territory,Y,2585911.5689,20e8fb9b-c6ce-4d9d-b322-30cc0b964f6d,{249F667A-3F91-4ADE-96CD-14E5A4F9DEE1},955313.590805809,26079432915.2873
488,WaiWßi,Brazil,Indigenous Territory,Y,405698.0085,16ab4b63-bcd6-4781-a38d-d3ba6aa36908,{A80A98F8-90F0-4170-ABD2-FE601CD4ED4B},309640.322401191,4075790700.79563
489,Wawi,Brazil,Indigenous Territory,Y,150329.1865,04ac03e2-aa6f-48ac-bc57-75c24df9e466,{B7E90179-BAAB-4A16-8D4A-79C7FD4738AB},226041.034384189,1574905148.51191
490,Xacriabß,Brazil,Indigenous Territory,Y,46415.9242,60cd40de-a8d0-49d6-8358-8c8914acd23e,{008C418C-6B36-4F1A-AD04-C36CDC28B7BF},103289.645436567,497707909.745839
491,Xakriabß Rancharia,Brazil,Indigenous Territory,Y,6798.3817,465ba496-deeb-4f62-85fa-1ee05a3ee9f5,{3959DCC6-26F7-4C54-A877-6F676E134155},37779.7518356923,73206265.2586702
492,Xambioß,Brazil,Indigenous Territory,Y,3326.3502,4ce92ff8-fc80-4bad-8737-3160fdabe690,{BCD6BE5B-66C8-4637-9506-723295EC1C10},26849.6152056437,34126820.8587477
493,Xapec=,Brazil,Indigenous Territory,Y,15623.9581,64c66f47-0bdb-4955-ad83-a0d9a7426eaf,{E41CF965-EC63-4AB9-8764-DEC5391BFFB3},113499.952270003,196227914.119226
494,Xerente,Brazil,Indigenous Territory,Y,167542.1058,9762b5cc-f19e-4a8f-90d9-df5f124f1583,{A40C5E15-8497-4D07-BCFA-E789967DE0DC},242921.248113106,1773415911.61997
495,Xikrin do Rio Catete,Brazil,Indigenous Territory,Y,439150.5452,8a8eff5b-ee75-4df9-b6d5-2e55df721785,{CC8B95AA-9F50-495E-9F24-08736A606D12},355625.824314246,4443459536.12769
496,Xipaya,Brazil,Indigenous Territory,Y,178723.0238,0de73091-b185-4015-a223-09ed8cbf7bfd,{1021A092-D1D8-4BCE-820D-6BB7DD4DFFE8},253876.673657942,1813487369.61891
497,Xukuru-Kariri,Brazil,Indigenous Territory,Y,7073,864ac17c-d223-4a7e-b25b-1511df32e848,{69CFE165-DFDC-4283-8F2F-CE362A7F020C},49326.717248337,73065875.8749354
498,Xukuru,Brazil,Indigenous Territory,Y,27555.0583,e304eced-07b5-4916-8acd-bd46acbb725c,{531372E5-8B2F-4B03-994F-E3F2A1E2DFA0},84363.8502134368,285489411.025489
499,Yanomami,Brazil,Indigenous Territory,Y,9664975.48,7832dda7-88ea-473c-8660-f6a490e96062,{F8A61631-B092-42BD-9E14-AF743C4C90C5},3425969.12414224,96444086361.8879
500,Zoe,Brazil,Indigenous Territory,Y,668565.6283,d72a3b2c-28aa-46b3-87b9-b754f9d8e0fc,{8FA7A8D5-E20B-4CF3-8967-2693BF9418A1},480001.735225088,6733240975.80351
501,Zor=,Brazil,Indigenous Territory,Y,355789.5492,f59e88d9-9d84-404f-8f87-10c6bd7a4200,{3B10B5B0-B296-4528-9E60-79A5C268E0BE},327742.905218828,3693044387.83757
502,Zuruahp,Brazil,Indigenous Territory,Y,239069.7403,639a1f7d-fedb-41c2-9ae8-fc5018f99e32,{C0D87252-67F6-4566-95FF-007DDC05444A},328537.613434554,2432002034.11027
503,Riozinho do Alto Envira,Brazil,Indigenous Territory,Y,260972.03,7f039333-21b9-4a22-800e-7ae425145c93,{20410361-BEB6-47C7-9380-6149F9BA4741},427488.431504348,2702009373.03101
504,Sapotal,Brazil,Indigenous Territory,Y,1264.4661,bf94213c-a778-4994-86bd-f32a4ba301b2,{D6DBAFF0-AAFF-401C-A75B-95EFDCCD3BE6},16358.7688731484,12807785.8483804
505,Anaro,Brazil,Indigenous Territory,Y,30473.9506,374c5cc1-96b7-4c15-8f44-1d821e74ed03,{23D3905E-5972-4CFC-8D4C-44F2CA1FDD95},89888.2204820996,308059680.069535
506,Arara do Rio Amonia,Brazil,Indigenous Territory,Y,20534.2205,aef6b05c-10e4-44f4-9f4c-e5d19cba62c0,{14CF8966-D748-41CD-9B2A-44A2EDDE0A3D},81355.9178273249,214194069.180667
507,Barro Alto,Brazil,Indigenous Territory,Y,1937.1679,a3833d1e-ff25-420c-a9f2-70494170b1c7,{B05DBFF4-5579-46E7-B6C3-430DD0885E57},33939.4753079972,19556593.8620418
